type,date,close
BLACKPINK,2022-06-01T00:00:00Z,1
BLACKPINK,2022-07-01T00:00:00Z,2
BLACKPINK,2022-08-01T00:00:00Z,4
BLACKPINK,2022-09-01T00:00:00Z,4
BLACKPINK,2022-10-01T00:00:00Z,3
BLACKPINK,2022-11-01T00:00:00Z,3
BLACKPINK,2022-12-01T00:00:00Z,2
BLACKPINK,2023-01-01T00:00:00Z,2
BLACKPINK,2023-02-01T00:00:00Z,2
BTS,2008-01-01T00:00:00Z,<1
BTS,2008-02-01T00:00:00Z,<1
BTS,2008-03-01T00:00:00Z,<1
BTS,2008-04-01T00:00:00Z,<1
BTS,2008-05-01T00:00:00Z,<1
BTS,2008-06-01T00:00:00Z,<1
BTS,2008-07-01T00:00:00Z,<1
BTS,2008-08-01T00:00:00Z,<1
BTS,2008-09-01T00:00:00Z,<1
BTS,2008-10-01T00:00:00Z,<1
BTS,2008-11-01T00:00:00Z,<1
BTS,2008-12-01T00:00:00Z,<1
BTS,2009-01-01T00:00:00Z,<1
BTS,2009-02-01T00:00:00Z,<1
BTS,2009-03-01T00:00:00Z,<1
BTS,2009-04-01T00:00:00Z,<1
BTS,2009-05-01T00:00:00Z,<1
BTS,2009-06-01T00:00:00Z,<1
BTS,2009-07-01T00:00:00Z,<1
BTS,2009-08-01T00:00:00Z,<1
BTS,2009-09-01T00:00:00Z,<1
BTS,2009-10-01T00:00:00Z,<1
BTS,2009-11-01T00:00:00Z,<1
BTS,2009-12-01T00:00:00Z,<1
BTS,2010-01-01T00:00:00Z,<1
BTS,2010-02-01T00:00:00Z,<1
BTS,2010-03-01T00:00:00Z,<1
BTS,2010-04-01T00:00:00Z,<1
BTS,2010-05-01T00:00:00Z,<1
BTS,2010-06-01T00:00:00Z,<1
BTS,2010-07-01T00:00:00Z,<1
BTS,2010-08-01T00:00:00Z,<1
BTS,2010-09-01T00:00:00Z,<1
BTS,2010-10-01T00:00:00Z,<1
BTS,2010-11-01T00:00:00Z,<1
BTS,2010-12-01T00:00:00Z,<1
BTS,2011-01-01T00:00:00Z,<1
BTS,2011-02-01T00:00:00Z,<1
BTS,2011-03-01T00:00:00Z,<1
BTS,2011-04-01T00:00:00Z,<1
BTS,2011-05-01T00:00:00Z,<1
BTS,2011-06-01T00:00:00Z,<1
BTS,2011-07-01T00:00:00Z,<1
BTS,2011-08-01T00:00:00Z,<1
BTS,2011-09-01T00:00:00Z,<1
BTS,2011-10-01T00:00:00Z,<1
BTS,2011-11-01T00:00:00Z,<1
BTS,2011-12-01T00:00:00Z,<1
BTS,2012-01-01T00:00:00Z,<1
BTS,2012-02-01T00:00:00Z,<1
BTS,2012-03-01T00:00:00Z,<1
BTS,2012-04-01T00:00:00Z,<1
BTS,2012-05-01T00:00:00Z,<1
BTS,2012-06-01T00:00:00Z,<1
BTS,2012-07-01T00:00:00Z,<1
BTS,2012-08-01T00:00:00Z,<1
